c000	1363080
c001	1188680
c002	520960
c003	1434450
c004	682290
c005	1491800
c006	995330
c007	1676670
c008	1447720
c009	850580
c010	1163330
c011	616580
c012	563420
c013	675320
c014	1050770
c015	482040
c016	1341810
c017	695810
c018	637320
c019	1036990
c020	826560
c021	798410
c022	596210
c023	1334080
c024	1182690
c025	988390
c026	743300
c027	683770
c028	1303850
c029	594380
c030	579520
c031	1381520
c032	44170
c033	334130
c034	719790
c035	1048880
c036	1001890
c037	1475750
c038	709680
c039	167650
c040	584200
c041	1942480
c042	603970
c043	429420
c044	1432500
c045	1060130
c046	782720
c047	750460
c048	1495190
c049	1233040
c050	948260
c051	1017500
c052	609210
c053	1002280
c054	853150
c055	1040220
c056	843250
c057	1022500
c058	620410
c059	1449740
c060	1367870
c061	1175000
c062	1087680
c063	1015220
c064	1396600
c065	713120
c066	531400
c067	1517780
c068	976690
c069	1072140
c070	1504090
c071	998850
c072	1262380
c073	1509960
c074	1028190
c075	617980
c076	1265430
c077	1161140
c078	992980
c079	643940
c080	1091250
c081	811540
c082	735320
c083	894420
c084	858200
c085	1188810
c086	1343890
c087	1396480
c088	570940
c089	1813340
c090	925830
c091	455630
c092	1364250
c093	908530
c094	1642690
c095	1200850
c096	1539190
c097	564590
c098	922780
c099	561220
